Country name	2011	2012	2013	2014			
Libya	6,288,652	6,283,403	6,265,987	6,258,984			
Liechtenstein	36,537	36,791	37,040	37,286			
Lithuania	3,028,115	2,987,773	2,957,689	2,929,323			
Luxembourg	518,347	530,946	543,360	556,074			
Macao SAR, China	546,682	557,763	568,056	577,914			
Macedonia, FYR	2,065,888	2,069,270	2,072,543	2,075,625			
Madagascar	21,678,867	22,293,720	22,924,557	23,571,713			
Malawi	15,226,813	15,700,436	16,190,126	16,695,253			
Malaysia	28,572,970	29,021,940	29,465,372	29,901,997			
Maldives	377,000	385,000	393,000	401,000			
Mali	15,639,115	16,112,333	16,592,097	17,086,022			
Malta	416,268	419,455	423,374	427,404			
Marshall Islands	52,541	52,663	52,786	52,898			
Mauritania	3,683,221	3,777,067	3,872,684	3,969,625			
Mauritius	1,252,404	1,255,882	1,258,653	1,260,934			
Mexico	120,365,271	122,070,963	123,740,109	125,385,833			
Micronesia, Fed. Sts.	103,476	103,516	103,718	104,044			
Moldova	3,559,986	3,559,519	3,558,566	3,556,400			
Monaco	37,189	37,404	37,528	37,623			
Mongolia	2,759,074	2,808,339	2,859,174	2,909,871			
Montenegro	620,079	620,601	621,207	621,800			
Morocco	32,531,964	32,984,190	33,452,686	33,921,203			
Mozambique	25,016,921	25,732,928	26,467,180	27,216,276			
Myanmar	52,125,411	52,543,841	52,983,829	53,437,159			
Namibia	2,240,161	2,291,645	2,346,592	2,402,858			
Nepal	27,179,237	27,500,515	27,834,981	28,174,724			
Netherlands	16,693,074	16,754,962	16,804,432	16,854,183			
New Caledonia	254,000	258,000	262,000	266,000			
New Zealand	4,384,000	4,408,100	4,442,100	4,509,700			
Nicaragua	5,807,787	5,877,034	5,945,646	6,013,913			
Niger	16,946,485	17,635,782	18,358,863	19,113,728			
Nigeria	163,770,669	168,240,403	172,816,517	177,475,986			
Northern Mariana Islands	53,234	53,314	53,869	54,541			
Norway	4,953,088	5,018,573	5,079,623	5,136,475			
Oman	3,210,003	3,545,192	3,906,912	4,236,057			
Pakistan	173,669,648	177,392,252	181,192,646	185,044,286			
Palau	20,606	20,756	20,919	21,097			
Panama	3,681,979	3,743,761	3,805,683	3,867,535			
Papua New Guinea	7,001,172	7,154,870	7,308,864	7,463,577			
Paraguay	6,293,763	6,379,162	6,465,669	6,552,518			
Peru	29,759,891	30,158,768	30,565,461	30,973,148			
Philippines	94,501,233	96,017,322	97,571,676	99,138,690			
Poland	38,063,255	38,063,164	38,040,196	37,995,529			
Portugal	10,557,560	10,514,844	10,457,295	10,397,393			
Puerto Rico	3,686,771	3,642,281	3,595,839	3,548,397			
